event-id,timestamp,location-long,location-lat,behavioural-classification,ground-speed,heading,height-raw,manually-marked-outlier,http://vocabulary.movebank.org/extended/raptor-workshop/attributes#behaviour,http://vocabulary.movebank.org/extended/raptor-workshop/attributes#deployment-special-event,http://vocabulary.movebank.org/extended/raptor-workshop/attributes#migration-state,visible,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
2333006,2007-06-16 20:00:00.000,-107.5308333,53.533,,,,,,,,"BreedingGrounds",true,"gps","Cathartes aura","65545","Leo","Turkey Vulture Acopian Center USA GPS",332269.8398985653,5934544.9863685155,"13N","Pacific Standard Time",2007-06-16 13:00:00.000
2333007,2007-06-16 21:00:00.000,-107.5371667,53.53616667,,,,,,,,"BreedingGrounds",true,"gps","Cathartes aura","65545","Leo","Turkey Vulture Acopian Center USA GPS",331862.7269360712,5934912.118761116,"13N","Pacific Standard Time",2007-06-16 14:00:00.000
2333008,2007-06-16 22:00:00.000,-107.5916667,53.57666667,,,,,,,,"BreedingGrounds",true,"gps","Cathartes aura","65545","Leo","Turkey Vulture Acopian Center USA GPS",328415.7576192208,5939546.543900333,"13N","Pacific Standard Time",2007-06-16 15:00:00.000
2333009,2007-06-16 23:00:00.000,-107.6168333,53.59316667,,,,,,,,"BreedingGrounds",true,"gps","Cathartes aura","65545","Leo","Turkey Vulture Acopian Center USA GPS",326817.4090827381,5941442.6174158715,"13N","Pacific Standard Time",2007-06-16 16:00:00.000
2333010,2007-06-17 00:00:00.000,-107.617,53.59316667,,,,,,,,"BreedingGrounds",true,"gps","Cathartes aura","65545","Leo","Turkey Vulture Acopian Center USA GPS",326806.3791064666,5941443.023153349,"13N","Pacific Standard Time",2007-06-16 17:00:00.000
2333011,2007-06-17 01:00:00.000,-107.6168333,53.59316667,,,,,,,,"BreedingGrounds",true,"gps","Cathartes aura","65545","Leo","Turkey Vulture Acopian Center USA GPS",326817.4090827381,5941442.6174158715,"13N","Pacific Standard Time",2007-06-16 18:00:00.000
2333012,2007-06-17 02:00:00.000,-107.6166667,53.59316667,,,,,,,,"BreedingGrounds",true,"gps","Cathartes aura","65545","Leo","Turkey Vulture Acopian Center USA GPS",326828.43244277965,5941442.211947631,"13N","Pacific Standard Time",2007-06-16 19:00:00.000
2333013,2007-06-17 03:00:00.000,-107.6166667,53.59333333,,,,,,,,"BreedingGrounds",true,"gps","Cathartes aura","65545","Leo","Turkey Vulture Acopian Center USA GPS",326829.1142136337,5941460.747646262,"13N","Pacific Standard Time",2007-06-16 20:00:00.000
2333014,2007-06-17 04:00:00.000,-107.6166667,53.59333333,,,,,,,,"BreedingGrounds",true,"gps","Cathartes aura","65545","Leo","Turkey Vulture Acopian Center USA GPS",326829.1142136337,5941460.747646262,"13N","Pacific Standard Time",2007-06-16 21:00:00.000
2333015,2007-06-17 05:00:00.000,-107.6166667,53.59316667,,,,,,,,"BreedingGrounds",true,"gps","Cathartes aura","65545","Leo","Turkey Vulture Acopian Center USA GPS",326828.43244277965,5941442.211947631,"13N","Pacific Standard Time",2007-06-16 22:00:00.000
